 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

     150.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.47562E+02  0.46675E+02 -0.47562E+02  0.45615E+02 -0.81993E+00 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.65362E+02  0.17800E+02    161  0.00000E+00      0.000
     160.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.50726E+02  0.49781E+02 -0.50726E+02  0.48650E+02 -0.95004E+00 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.69711E+02  0.18985E+02    171  0.00000E+00      0.000
     170.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.53891E+02  0.52886E+02 -0.53891E+02  0.51684E+02 -0.10802E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.74060E+02  0.20169E+02    181  0.00000E+00      0.000
     180.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.57055E+02  0.55992E+02 -0.57055E+02  0.54719E+02 -0.12103E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.78409E+02  0.21354E+02    191  0.00000E+00      0.000
     190.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.60220E+02  0.59097E+02 -0.60220E+02  0.57753E+02 -0.13404E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.82758E+02  0.22538E+02    201  0.00000E+00      0.000
     200.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.63385E+02  0.62203E+02 -0.63385E+02  0.60788E+02 -0.14705E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.87107E+02  0.23722E+02    211  0.00000E+00      0.000
     210.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.66549E+02  0.65309E+02 -0.66549E+02  0.63822E+02 -0.16006E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.91456E+02  0.24907E+02    221  0.00000E+00      0.000
     220.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.69714E+02  0.68414E+02 -0.69714E+02  0.66857E+02 -0.17307E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.95805E+02  0.26091E+02    231  0.00000E+00      0.000
     230.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.72878E+02  0.71520E+02 -0.72878E+02  0.69891E+02 -0.18608E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.10015E+03  0.27276E+02    241  0.00000E+00      0.000
     240.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.76043E+02  0.74626E+02 -0.76043E+02  0.72926E+02 -0.19909E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.10450E+03  0.28460E+02    251  0.00000E+00      0.000
     250.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.79208E+02  0.77731E+02 -0.79208E+02  0.75960E+02 -0.21211E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.10885E+03  0.29644E+02    261  0.00000E+00      0.000
     260.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.82372E+02  0.80837E+02 -0.82372E+02  0.78995E+02 -0.22512E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.11320E+03  0.30829E+02    271  0.00000E+00      0.000
     270.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.85537E+02  0.83942E+02 -0.85537E+02  0.82029E+02 -0.23813E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.11755E+03  0.32013E+02    281  0.00000E+00      0.000
     280.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.88701E+02  0.87048E+02 -0.88701E+02  0.85064E+02 -0.25114E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.12190E+03  0.33197E+02    291  0.00000E+00      0.000
