 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   67     79.20     0.074     0.412       0.0   0.700E+01     0.670     0.006     1.000     1.000     1.000
   68     80.40     0.074     0.412       0.0   0.700E+01     0.670     0.006     1.000     1.000     1.000
   69     81.60     0.074     0.412       0.0   0.700E+01     0.670     0.005     1.000     1.000     1.000
   70     82.80     0.074     0.412       0.0   0.700E+01     0.670     0.005     1.000     1.000     1.000
   71     84.00     0.074     0.412       0.0   0.700E+01     0.670     0.005     1.000     1.000     1.000
   72     85.20     0.074     0.412       0.0   0.700E+01     0.670     0.005     1.000     1.000     1.000
   73     86.40     0.074     0.412       0.0   0.700E+01     0.670     0.005     1.000     1.000     1.000
   74     87.60     0.074     0.412       0.0   0.700E+01     0.670     0.005     1.000     1.000     1.000
   75     88.80     0.074     0.412       0.0   0.700E+01     0.670     0.004     1.000     1.000     1.000
   76     90.00     0.074     0.412       0.0   0.700E+01     0.670     0.004     1.000     1.000     1.000
   77     91.20     0.074     0.412       0.0   0.700E+01     0.670     0.004     1.000     1.000     1.000
   78     92.40     0.074     0.412       0.0   0.700E+01     0.670     0.004     1.000     1.000     1.000
   79     93.60     0.074     0.412       0.0   0.700E+01     0.670     0.004     1.000     1.000     1.000
   80     94.80     0.074     0.412       0.0   0.700E+01     0.670     0.004     1.000     1.000     1.000
   81     96.00     0.074     0.412       0.0   0.700E+01     0.670     0.003     1.000     1.000     1.000
   82     97.20     0.074     0.412       0.0   0.700E+01     0.670     0.003     1.000     1.000     1.000
   83     98.40     0.074     0.412       0.0   0.700E+01     0.670     0.003     1.000     1.000     1.000
   84     99.60     0.074     0.412       0.0   0.700E+01     0.670     0.003     1.000     1.000     1.000
   85    100.80     0.074     0.412       0.0   0.700E+01     0.670     0.003     1.000     1.000     1.000
   86    102.00     0.074     0.412       0.0   0.700E+01     0.670     0.003     1.000     1.000     1.000
   87    103.20     0.074     0.412       0.0   0.700E+01     0.670     0.002     1.000     1.000     1.000
   88    104.40     0.074     0.412       0.0   0.700E+01     0.670     0.002     1.000     1.000     1.000
   89    105.60     0.074     0.412       0.0   0.700E+01     0.670     0.002     1.000     1.000     1.000
   90    106.80     0.074     0.412       0.0   0.700E+01     0.670     0.002     1.000     1.000     1.000
